Rank,Name,Conference,Record,Road,Neutral,Home,Non-Div 1
221,North Dakota St.,Summit League,5-6-6,1-4-2,0-0-0,4-2-4,0-0-0
222,Western Ky.,CUSA,5-5-7,2-3-2,0-0-0,3-2-5,1-0-0
223,Fresno St.,Mountain West,5-9-6,2-4-3,0-1-0,3-4-3,0-0-0
224,LMU (CA),WCC,6-10-3,2-4-3,0-0-0,4-6-0,0-0-0
225,Louisiana Tech,CUSA,6-11-3,2-7-0,0-0-0,4-4-3,0-0-0
226,St. Thomas (MN),Summit League,3-7-4,2-4-2,0-0-0,1-3-2,0-0-1
227,UT Martin,OVC,5-8-6,3-5-2,0-1-0,2-2-4,0-0-0
228,Northern Ariz.,Big Sky,11-6-3,3-2-3,0-0-0,8-4-0,0-0-0
229,UC San Diego,Big West,5-8-5,2-5-3,0-0-0,3-3-2,0-0-0
230,Murray St.,MVC,6-8-6,3-4-4,1-0-0,2-4-2,0-0-0
231,UAlbany,America East,4-10-2,1-6-2,0-0-0,3-4-0,0-0-0
232,Howard,NEC,11-6-2,3-5-0,0-0-0,8-1-2,1-0-0
233,Kansas City,Summit League,3-7-8,0-5-4,0-1-0,3-1-4,0-0-0
234,Oregon,Pac-12,0-16-3,0-9-2,0-0-0,0-7-1,0-0-0
235,North Florida,ASUN,4-9-5,1-4-4,0-0-0,3-5-1,0-0-0
236,Southeast Mo. St.,OVC,6-6-6,4-3-3,1-1-0,1-2-3,1-0-0
237,FDU,NEC,8-11-0,4-6-0,0-0-0,4-5-0,0-0-0
238,Air Force,Mountain West,6-9-3,2-6-2,0-0-0,4-3-1,0-0-0
239,Troy,Sun Belt,6-10-2,1-6-1,2-0-0,3-4-1,0-0-0
240,North Dakota,Summit League,4-7-6,2-2-2,0-0-0,2-5-4,1-0-0
240,UNCW,CAA,5-9-3,0-5-3,0-0-0,5-4-0,0-0-0
242,Kennesaw St.,ASUN,4-8-7,2-5-2,0-1-1,2-2-4,0-0-0
243,Rhode Island,Atlantic 10,4-9-6,3-3-4,0-0-0,1-6-2,0-0-0
244,Saint Joseph's,Atlantic 10,4-9-6,3-6-2,0-0-0,1-3-4,0-0-0
245,Detroit Mercy,Horizon,6-9-3,1-6-2,0-0-0,5-3-1,1-0-0
246,Hawaii,Big West,5-8-3,1-5-2,0-0-0,4-3-1,0-0-0
247,Kansas St.,Big 12,3-12-3,1-6-1,0-0-0,2-6-2,0-0-0
248,Syracuse,ACC,2-14-2,1-9-1,0-0-0,1-5-1,0-0-0
249,San Jose St.,Mountain West,3-10-6,2-7-0,0-0-0,1-3-6,0-0-0
250,UNC Asheville,Big South,7-6-4,3-4-1,0-0-0,4-2-3,0-0-0
251,Southeastern La.,Southland,6-10-2,2-8-1,0-0-1,4-2-0,0-0-0
252,Belmont,MVC,3-9-7,2-5-4,0-1-0,1-3-3,0-0-0
253,Eastern Ky.,ASUN,5-8-6,2-5-2,0-0-1,3-3-3,0-0-0
254,Abilene Christian,WAC,6-9-2,3-6-1,0-0-0,3-3-1,1-0-0
255,Wyoming,Mountain West,6-8-4,3-4-3,0-0-0,3-4-1,0-0-1
256,Sacred Heart,NEC,6-9-4,3-7-1,0-0-0,3-2-3,0-0-0
257,Toledo,MAC,6-9-2,2-4-2,0-0-0,4-5-0,1-0-0
258,Elon,CAA,3-9-5,0-5-3,0-0-0,3-4-2,0-0-0
259,Indiana St.,MVC,2-6-10,0-4-6,0-0-0,2-2-4,0-0-0
260,UC Santa Barbara,Big West,4-8-7,0-6-4,0-0-0,4-2-3,0-0-0
261,Queens (NC),ASUN,4-7-8,1-4-4,0-1-1,3-2-3,0-0-0
262,Evansville,MVC,1-7-9,0-3-5,0-1-0,1-3-4,0-0-0
263,Northwestern St.,Southland,6-10-3,1-8-2,0-0-1,5-2-0,0-0-0
264,Mount St. Mary's,MAAC,7-9-3,2-6-1,0-0-0,5-3-2,0-0-0
265,Longwood,Big South,5-7-5,4-3-3,0-0-0,1-4-2,0-0-0
266,UTEP,CUSA,2-11-4,0-5-3,0-0-0,2-6-1,0-0-0
